santo inacio,rendimento nominal mensal medio das pessoas de 10 anos ou mais de idade - com rendimento (real),2.5683800000000003
sao braz,rendimento nominal mensal medio das pessoas de 10 anos ou mais de idade - com rendimento (real),1.89137
sao francisco,rendimento nominal mensal medio das pessoas de 10 anos ou mais de idade - com rendimento (real),2.8373
sao lourenco,rendimento nominal mensal medio das pessoas de 10 anos ou mais de idade - com rendimento (real),3.5694
sao miguel,rendimento nominal mensal medio das pessoas de 10 anos ou mais de idade - com rendimento (real),85489
seminario,rendimento nominal mensal medio das pessoas de 10 anos ou mais de idade - com rendimento (real),4.1030999999999995
sitio cercado,rendimento nominal mensal medio das pessoas de 10 anos ou mais de idade - com rendimento (real),1.0668
taboao,rendimento nominal mensal medio das pessoas de 10 anos ou mais de idade - com rendimento (real),1.8676599999999999
taruma,rendimento nominal mensal medio das pessoas de 10 anos ou mais de idade - com rendimento (real),2.9737999999999998
tatuquara,rendimento nominal mensal medio das pessoas de 10 anos ou mais de idade - com rendimento (real),90364
tingui,rendimento nominal mensal medio das pessoas de 10 anos ou mais de idade - com rendimento (real),1.9029399999999999
uberaba,rendimento nominal mensal medio das pessoas de 10 anos ou mais de idade - com rendimento (real),1.62351
umbara,rendimento nominal mensal medio das pessoas de 10 anos ou mais de idade - com rendimento (real),1.1640400000000002
vila izabel,rendimento nominal mensal medio das pessoas de 10 anos ou mais de idade - com rendimento (real),3.3909
vista alegre,rendimento nominal mensal medio das pessoas de 10 anos ou mais de idade - com rendimento (real),2.8987399999999997
xaxim,rendimento nominal mensal medio das pessoas de 10 anos ou mais de idade - com rendimento (real),1.53217
